action,reason,cluster_id,source_db,title,doi,matched_with_db,matched_with_title
NEW,No match found,0,pubmed,Improving pancreatic adenocarcinoma prognosis models through ligand receptor interactions and histop,10.1186/s12967-026-08572-6,,
NEW,No match found,1,pubmed,Illusion of competence: vision-language models provide confident but inaccurate explanations in cyto,10.1038/s41598-026-60372-6,,
NEW,No match found,2,pubmed,SPEAK: Spatial Prompting with Expert Aligned Knowledge for Tissue Domain Identification in Spatial T,10.64898/2026.06.22.733750,,
NEW,No match found,3,pubmed,SpaBiT: Enhancing Spatial Transcriptomics Resolution via Bidirectional Attention Transformers.,10.1093/bioinformatics/btag443,,
NEW,No match found,4,pubmed,Deep learning in tumour genomics: from multi-omics integration to precision oncology.,10.1098/rsob.260117,,
NEW,No match found,5,pubmed,Enhancing Cross-Context Generalization in Drug Perturbation Prediction with a Multimodal Conditional,10.1093/bioinformatics/btag482,,
NEW,No match found,6,pubmed,Artificial intelligence-driven multimodal fusion for precision diagnosis and personalized management,10.3389/or.2026.1849152,,
NEW,No match found,7,pubmed,A transformer-based language model reveals developmental constraint and network complexity during ze,10.1093/pnasnexus/pgag223,,
NEW,No match found,8,pubmed,A unified spatial transcriptome profiling of ten mouse organs.,10.1038/s41597-026-07752-9,,
NEW,No match found,9,pubmed,OmicsTransformer: Self-Supervised Masked Consistency and Uncertainty-Aware Fusion for Robust Multi-O,10.1093/bioinformatics/btag468,,
NEW,No match found,10,pubmed,"Foundation Models in Cancer Pathology: Techniques, Applications, and Future Directions.",10.34133/research.1332,,
NEW,No match found,11,pubmed,Integrating artificial intelligence and multi-omics data for precision oncology in endometrial cance,10.1007/s10142-026-01957-2,,
NEW,No match found,12,pubmed,"Artificial Intelligence in drug discovery and development: current landscape, challenges, and future",10.1016/j.critrevonc.2026.105461,,
NEW,No match found,13,pubmed,Generative Artificial Intelligence and Large Language Models in Clinical Oncology.,10.1002/mco2.70833,,
NEW,No match found,14,pubmed,A Genomics-Guided Multimodal Contrastive Learning Framework for Clinically Significant Prostate Canc,10.3390/cancers18121952,,
NEW,No match found,15,pubmed,"Emerging Pathways to Non-Invasive Diagnosis in Endometriosis: Integrating Machine Learning, Deep Lea",10.3390/diagnostics16121823,,
NEW,No match found,16,pubmed,seqLens: Optimizing Language Models for Genomic Predictions.,10.1093/molbev/msag139,,
NEW,No match found,17,pubmed,Deep survival analysis in multimodal medical data: a parametric and probabilistic approach with comp,10.1038/s41598-026-57704-x,,
NEW,No match found,18,pubmed,Cellular architecture and neighborhood-informed virtual spatial tumor profiling from histopathology.,10.1016/j.cell.2026.05.031,,
NEW,No match found,19,pubmed,Unlocking precision diagnostics: A multimodal framework integrating metabolomics with advanced machi,10.1371/journal.pone.0318473,,
NEW,No match found,20,pubmed,CME-KGDTI: integrating clustered mutations into knowledge graph embedding for drug-target interactio,10.1186/s13040-026-00576-8,,
NEW,No match found,21,pubmed,Charting the computational landscape of single-cell genetic perturbation.,10.1016/j.jare.2026.06.012,,
NEW,No match found,22,pubmed,Fusing imaging and metabolic modeling via multimodal deep learning in ovarian cancer.,10.1016/j.cels.2026.101594,,
NEW,No match found,23,pubmed,Geranium: Multimodal Retrieval of Genomics Data Visualizations.,10.1109/TVCG.2026.3683429,,
NEW,No match found,24,pubmed,Interpretable deep generative ensemble learning for single-cell omics with Hydra.,10.1038/s44320-026-00208-7,,
NEW,No match found,25,scopus,Artificial intelligence in clinical oncology: Multimodal integration and translational development,10.1016/j.canlet.2026.218493,,
NEW,No match found,26,scopus,Leveraging Artificial Intelligence and Large Language Models for Cancer Immunotherapy,10.1002/advs.202521936,,
NEW,No match found,27,scopus,CLOP-DiT: Structured-metadata-conditioned single-cell latent generation via contrastive language-omi,10.1016/j.array.2026.100934,,
NEW,No match found,28,scopus,Sequence determinant and functional relevance of 8-oxoguanine RNA modification unveiled from foundat,10.1016/j.omtn.2026.102951,,
NEW,No match found,29,scopus,Prediction of Lung Cancer Metastasis Risk Based on GCAVE-GAN Data Augmentation and Multimodal Featur,10.3233/ATDE260373,,
NEW,No match found,30,scopus,"Redefining Pathobiology with Spatial Multi-Omics at the Intersection of Biology, Computation, and Hi",10.1016/j.ajpath.2026.01.007,,
NEW,No match found,31,scopus,Non-invasive profiling of the tumour microenvironment with spatial ecotypes,10.1038/s41586-026-10452-4,,
MERGE,DOI match: 10.1016/j.cels.2026.101594,22,scopus,Fusing imaging and metabolic modeling via multimodal deep learning in ovarian cancer,10.1016/j.cels.2026.101594,pubmed,Fusing imaging and metabolic modeling via multimodal deep learning in ovarian cancer.
NEW,No match found,32,scopus,Comprehensive RNA-binding protein analyses and deep learning uncover genetic constraints and disease,10.1016/j.cels.2026.101588,,
NEW,No match found,33,scopus,Linear Attention and SSM Fusion for Long Sequence Modeling: An Innovative Framework Breaking the Com,10.3233/ATDE260340,,
MERGE,DOI match: 10.1002/mco2.70833,13,scopus,Generative Artificial Intelligence and Large Language Models in Clinical Oncology,10.1002/mco2.70833,pubmed,Generative Artificial Intelligence and Large Language Models in Clinical Oncology.
MERGE,DOI match: 10.1109/tvcg.2026.3683429,23,scopus,Geranium: Multimodal Retrieval of Genomics Data Visualizations,10.1109/TVCG.2026.3683429,pubmed,Geranium: Multimodal Retrieval of Genomics Data Visualizations.
NEW,No match found,34,semantic_scholar,3D Masked Autoencoders are Robust Learners of Volumetric and Multimodal Cellular Representations for,,,
NEW,No match found,35,semantic_scholar,Data-Efficient Multimodal Alignment for Histopathology-based Molecular Prediction,,,
NEW,No match found,36,semantic_scholar,The Impact of Machine Learning and AI on Bioinformatics,10.54097/7kn89v49,,
NEW,No match found,37,semantic_scholar,OsteoFGRNet: Osteopontin-Driven Expression Profiling for Early Fetal Growth Restriction Analysis,10.1109/ACCESS.2025.3640590,,
NEW,No match found,38,semantic_scholar,"The Evolution of Breast Cancer Detection: A Review of Imaging, Machine Learning, and Multimodal Stra",10.1002/cso2.70018,,
MERGE,DOI match: 10.1093/bioinformatics/btag468,9,semantic_scholar,OmicsTransformer: Self-Supervised Masked Consistency and Uncertainty-Aware Fusion for Robust Multi-O,10.1093/bioinformatics/btag468,pubmed,OmicsTransformer: Self-Supervised Masked Consistency and Uncertainty-Aware Fusion for Robust Multi-O
NEW,No match found,39,semantic_scholar,eRNAformer enables genome-wide de novo mapping of enhancer-derived RNA loci,10.64898/2026.06.24.734403,,
NEW,No match found,40,semantic_scholar,Research progress and challenges of multimodal deep learning models for prognosis of gastric cancer.,10.1007/s12672-026-05431-0,,
NEW,No match found,41,semantic_scholar,An AI-Driven Digital Twin Framework for Personalized Drug Response Prediction and Virtual Treatment ,10.66261/5cyby265,,
NEW,No match found,42,semantic_scholar,"GenoME: a MoE-based generative model for individualized, multimodal prediction and perturbation of g",10.64898/2025.12.28.696482,,
NEW,No match found,43,semantic_scholar,Adaptive Gated Multimodal Fusion for Explainable and Uncertainty-Aware Tumor Grade Assessment,10.1109/ACCESS.2026.3701753,,
NEW,No match found,44,semantic_scholar,Radiomics in Lung Cancer Imaging: A Narrative Review of Current Evidence,10.3390/jimaging12070287,,
NEW,No match found,45,semantic_scholar,Artificial Intelligence in single-cell and spatial transcriptomics data analyses.,10.1016/bs.pmbts.2026.01.011,,
NEW,No match found,46,semantic_scholar,Anchoring virtual cells on gene programs: From biological networks to patient digital twins,10.70401/exo.2026.0013,,
NEW,No match found,47,semantic_scholar,Harnessing deep learning for the discovery of latent patterns in multi-omics medical data,10.53388/mdm202609004,,
NEW,No match found,48,semantic_scholar,Predicting Immune Biomarkers with MultiModal Mixture-of-Expert Pathology Foundation Models Empowers ,,,
