"source","target","label"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_61db1c980e00e2d0","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_06286629d786c7bd","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_a4377776f712355e","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_3d2f13c6171e25c7","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_db3015dac2bc6de4","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_dc2ca1c9094108a9","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_57e85a17b8eaf55f","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_bdb2e7fe1d0f60c6","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_4f0e934add65ba1c","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_39b7d5be32d1f56d","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_0f92e9261efe1f72","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_e3a9426bbf97b56e","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_83c93a2e391d8682","HAS_CODED_INPUT_ROUTE"
