relative_path,category,size_bytes,mtime_utc,sha256
.nojekyll,final_or_documentation,1,2026-08-14T21:06:36+00:00,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
QA.md,final_or_documentation,2516,2026-08-17T17:05:31.923456+00:00,7158e4d197f148f2cea2bba03450edcf10dfdde91102c6ee07e90199bed3fb2d
README.md,final_or_documentation,3566,2026-08-17T17:05:31.923189+00:00,9775127021ec95b02947edca3a860c0a9c7e5ccb0b46198761158adbdc7bc500
assets/app.js,final_or_documentation,47812,2026-08-14T21:06:36+00:00,bc96027c30bacda607f0e00b519065c4c24efdf4b593eb79a64fab33c9b159d1
assets/figures/full_2026_07_06_rec_000060_figure_001.png,final_or_documentation,470231,2026-08-12T10:09:36.955377+00:00,ca296b44fc8764d23271be36ed764873aa392ea6c1b64ca49b8557d26cbd4765
assets/figures/full_2026_07_06_rec_000063_figure_001.png,final_or_documentation,174614,2026-08-12T10:07:40.209638+00:00,0befdb410abb4e546974eadd4f1986311baf5682f0c870a9c16a86bb69266aa4
assets/figures/full_2026_07_06_rec_000086_figure_002.png,final_or_documentation,202538,2026-08-12T10:08:53.748694+00:00,fe9bee26ab45b4232708aaa1db16267880ab322b26c3afe85e7ee283bbc9a6e2
assets/figures/full_2026_07_06_rec_000090_figure_001.png,final_or_documentation,409116,2026-08-12T10:10:33.513547+00:00,dbee1b0a516ede93b6c40755aa370db7565b72588132c8a55fbce99d12196816
assets/figures/full_2026_07_06_rec_000090_figure_007.png,final_or_documentation,188918,2026-08-12T10:10:33.621272+00:00,693f314fb2b7d33dc7ba9a1d1b6d88730fba4aa74a580fa1a7d94b98debf4eab
assets/figures/full_2026_07_06_rec_000771_figure_003.png,final_or_documentation,271595,2026-08-12T10:10:00.500367+00:00,3f493252148b2d96d35d9f09a55aa5e024b8258c0cc959999cb24a8d41ffa94b
assets/figures/full_2026_07_06_rec_000827_figure_003.png,final_or_documentation,800042,2026-08-12T10:14:48.641171+00:00,808cb3e1740edc0e44a7ea55410cdcdfdc1c27b072d90e3a725a43dac17b8fe6
assets/figures/full_2026_07_06_rec_000827_figure_011.png,final_or_documentation,200306,2026-08-12T10:14:48.765328+00:00,2d079d60204f55a76fee754a1c4626d32b692e7944a6560e6c61a9c59aaa26f8
assets/figures/full_2026_07_06_rec_000827_figure_019.png,final_or_documentation,98932,2026-08-12T10:14:48.800682+00:00,23652830e882b36a6fb2f7d6761d5467f750e562d1164a5a3f86b8fe29517d6a
assets/figures/full_2026_07_06_rec_000950_figure_002.png,final_or_documentation,322147,2026-08-12T10:11:48.434934+00:00,61414301703f6e8f681586c4d50d999d7eeb591e0234ff7f745948df1fa1f4a9
assets/figures/full_2026_07_06_rec_001074_figure_001.png,final_or_documentation,145245,2026-08-12T10:11:38.639402+00:00,fffbebce383be4f4065f5cd948aab8480eda41347d6e4c47569b8ab4c6d35af4
assets/figures/full_2026_07_06_rec_001074_figure_003.png,final_or_documentation,154452,2026-08-12T10:11:38.654738+00:00,90d544b99e4eadf4440cc465687622ac1249e0938261d06ac09f815ac55f3550
assets/figures/full_2026_07_06_rec_001126_figure_001.png,final_or_documentation,543400,2026-08-12T10:12:28.687041+00:00,6a7a715c101c144d379ccfea21fd46087cc7cf1b5a4bcae5481def0aa8fe47c8
assets/figures/full_2026_07_06_rec_001187_figure_001.png,final_or_documentation,136696,2026-08-12T10:15:09.053092+00:00,6451eeba54949e0870379d5c4ea9841d16445b48a07ed820ac630f234d2a5df4
assets/figures/full_2026_07_06_rec_001200_figure_001.png,final_or_documentation,275029,2026-08-12T10:14:08.416946+00:00,096db91d754e4ab3949e466a513debdf24ed09c17b9d18d33ee4249263b28c35
assets/figures/full_2026_07_06_rec_001218_figure_001.png,final_or_documentation,197697,2026-08-12T10:14:06.843254+00:00,1082c05fd353b8d9f16bb5a81f5d19d7729869a16478cd9438a685c9dc40dd10
assets/figures/full_2026_07_06_rec_001277_figure_001.png,final_or_documentation,257518,2026-08-12T10:16:23.280283+00:00,cdf370825d3d0bfcd7e4241b5d498050e78ed3dde00fe987b44c69c89b629577
assets/figures/full_2026_07_06_rec_001319_figure_001.png,final_or_documentation,750272,2026-08-12T10:17:28.254266+00:00,6f60f9f509156496ac4c8e043a761f32b87bf6e9a1c20285da03bd7bc592b5f8
assets/figures/full_2026_07_06_rec_001343_figure_001.png,final_or_documentation,95913,2026-08-12T10:16:49.602636+00:00,189e63bbead49f09efe6bf1f2f9413b9cdfda31b2e8a41fc24ecb424297a2026
assets/figures/full_2026_07_06_rec_001352_figure_002.png,final_or_documentation,300032,2026-08-12T10:20:18.467112+00:00,633f30c1293c78710cdef5144a260b6c7b31772ca89018fad559614b45ed7913
assets/figures/full_2026_07_06_rec_001381_figure_007.png,final_or_documentation,106216,2026-08-12T10:20:28.236618+00:00,c1acaeb6141c4bb543733f074f0bcdef463979db71492c67f4ffa275d4491c4d
assets/figures/full_2026_07_06_rec_001381_figure_009.png,final_or_documentation,123819,2026-08-12T10:20:28.254767+00:00,80bb030c04eda3d17e5465d232fad0afe4f21a558c00614307afd829fa4786f8
assets/figures/full_2026_07_06_rec_001519_figure_007.png,final_or_documentation,152676,2026-08-12T10:19:11.230438+00:00,e8e264781a469663cb2e0a8962be8316dc705962055223a71f2185cec5ffdfff
assets/figures/full_2026_07_06_rec_001617_figure_001.png,final_or_documentation,219302,2026-08-12T10:23:05.112704+00:00,54b9bdf02b4a0ee126b6139a699bdb14ba90c40a9bcc4c6870cf609d32e78134
assets/figures/full_2026_07_06_rec_001617_figure_002.png,final_or_documentation,176510,2026-08-12T10:23:05.121572+00:00,e74192b02a6c544c4d4ae6c01c1b71c75747f0270a5e4e6bc77aba0c8a2259ee
assets/figures/full_2026_07_06_rec_001617_figure_007.png,final_or_documentation,72715,2026-08-12T10:23:05.157942+00:00,d6de6dfd9786dfe9e0ede5e846dcb2af9314dccdea07df4a3902ae9a94d7e657
assets/figures/full_2026_07_06_rec_001687_figure_001.png,final_or_documentation,106435,2026-08-12T10:21:48.422967+00:00,39a5d9428f7b67b48168fadd51531712dcb3935c42fc2cd33810b549b5999176
assets/figures/full_2026_07_06_rec_001773_figure_003.png,final_or_documentation,150975,2026-08-12T10:23:07.394382+00:00,94a37fafc43c437ff916296d712e3d2e561107e0f7c073dfddacf799b564aee4
assets/figures/full_2026_07_06_rec_001830_figure_002.png,final_or_documentation,192148,2026-08-12T10:25:29.950966+00:00,bc007bde37203be58bc237be638674f9ab31b216d98e731ff662d83e7ad280e8
assets/figures/full_2026_07_06_rec_001838_figure_001.png,final_or_documentation,117732,2026-08-12T10:24:08.617358+00:00,56abf86ae3158af55d3ac567068e0e83f0def5b306fd4a1a9599608086aabe6c
assets/figures/full_2026_07_06_rec_001889_figure_001.png,final_or_documentation,602713,2026-08-12T10:26:50.087572+00:00,c791d6b708db5831604d55a4260039401bf005797269da852224d598c552e137
assets/figures/full_2026_07_06_rec_002049_figure_001.png,final_or_documentation,106535,2026-08-12T10:24:01.406875+00:00,67805aaf59d42f2868da3d9ae3581360a1f36e2d1ffef246f7355f81ada6ad24
assets/figures/full_2026_07_06_rec_002105_figure_001.png,final_or_documentation,751701,2026-08-12T10:26:32.417572+00:00,d836049e5b8ee5e302ee92c8b7045d9c05354705d6e883c60bd0b2a7c974fd85
assets/figures/full_2026_07_06_rec_002105_figure_007.png,final_or_documentation,69670,2026-08-12T10:26:32.522052+00:00,29faae94a37913029648190487e5b040b334d7c87c8b0f47db43953a045a03c6
assets/figures/full_2026_07_06_rec_002243_figure_001.png,final_or_documentation,259535,2026-08-12T10:25:21.248600+00:00,f317a0eb287574a9980d3b339c7f368ea20156081aede388e2636d6aa9f9916b
assets/figures/full_2026_07_06_rec_002304_figure_001.png,final_or_documentation,192593,2026-08-12T10:28:36.287582+00:00,7bbf665a8a1ee700b481cd1f6897108b58c035ed57d90bef04035b5fce833f43
assets/figures/full_2026_07_06_rec_002327_figure_001.png,final_or_documentation,230781,2026-08-12T10:27:26.526881+00:00,4009bc09193a58c73e92264fbab8a20b45f4ca1a6fbd689fc9f4cc7b5062d76e
assets/figures/full_2026_07_06_rec_002517_figure_003.png,final_or_documentation,115720,2026-08-12T10:29:00.014695+00:00,aa05c8f6b5e606739ece432e8e4361b1404957c4c3d388bedf561b1fad469526
assets/figures/full_2026_07_06_rec_003008_figure_005.png,final_or_documentation,37256,2026-08-12T10:29:23.458237+00:00,a46b5537dc98bb9f5100065a56ac2cba80b5fe12ee5f4ae14eff4158d0938750
assets/figures/full_2026_07_06_rec_003043_figure_001.png,final_or_documentation,131118,2026-08-12T10:30:09.788488+00:00,0818b9a6512a994aa99711be5f9d73c3ee63c9ad5ea74f885855bb299389d7c7
assets/figures/full_2026_07_06_rec_003043_figure_006.png,final_or_documentation,153314,2026-08-12T10:30:09.850986+00:00,9e63b9a5663cc3acc3d474d94d9d01570d390f25288c9abcc3bc702f6efb3458
assets/figures/full_2026_07_06_rec_003131_figure_003.png,final_or_documentation,668688,2026-08-12T10:31:20.823864+00:00,b6c7d3ad60e9a883cc825bdaddf18f55970b97e6dc13d4a401f49c6d5291651b
assets/figures/full_2026_07_06_rec_003188_figure_002.png,final_or_documentation,170738,2026-08-12T10:30:04.533119+00:00,3ccbd37efdb2c59e8fc2c384cda3bc7e7c27e61714232288d10edee942e7fa2e
assets/figures/full_2026_07_06_rec_003206_figure_006.png,final_or_documentation,136627,2026-08-12T10:33:28.736864+00:00,3ac6412c3ba2e32cc2c4da4a1c866b22cb245dd1542282de1967aa3d5d47096d
assets/figures/full_2026_07_06_rec_003214_figure_002.png,final_or_documentation,290513,2026-08-12T10:31:14.143084+00:00,8fac451c1ee9a846f85c420a7aa96d139a3554d6a6c9be9b4575f664eae510cf
assets/figures/full_2026_07_06_rec_003323_figure_002.png,final_or_documentation,422686,2026-08-12T10:33:38.241949+00:00,fde2882e75e7e8884513794d0ee1f9af9cc06d7702afbe6d0c71f5850f4294fa
assets/figures/full_2026_07_06_rec_003323_figure_005.png,final_or_documentation,341454,2026-08-12T10:33:38.290604+00:00,41e1c150f31e495ff05f1f2610a84b400ae03eb6893def87605b20a3271b0e95
assets/figures/full_2026_07_06_rec_003394_figure_004.png,final_or_documentation,569908,2026-08-12T10:33:45.654529+00:00,b2e3e2144df6266f43e084c2d97ad80f5dbe291606388e66f30ed996d1c0fba6
assets/figures/full_2026_07_06_rec_003394_figure_008.png,final_or_documentation,595502,2026-08-12T10:33:45.787559+00:00,a7ceb7c87469569e8b30c0aea15ad2cfaa21625dbe24daf2eccfb6ce09495bea
assets/figures/full_2026_07_06_rec_003517_figure_001.png,final_or_documentation,245199,2026-08-12T10:37:10.879868+00:00,127b8093c250015a3bff1152f2ab68c840594b41f92265d6231a50b94ca5a83f
assets/figures/full_2026_07_06_rec_003517_figure_005.png,final_or_documentation,261523,2026-08-12T10:37:10.942199+00:00,5357081b6bd101bd9be2dd3bd20a4d59b7c89edcc29b086eacc9ae16bd822793
assets/figures/full_2026_07_06_rec_003629_figure_001.png,final_or_documentation,516054,2026-08-12T10:37:14.626281+00:00,c7f59d9ca6eff0b9a0cc5c39797b5a54b7b9b7ff0f4f869a1ea48fec12f76b60
assets/figures/full_2026_07_06_rec_003852_figure_005.png,final_or_documentation,803143,2026-08-12T10:36:15.147922+00:00,a19e998bec70399b41f81e4755f90d516aa43e50030e40dd12ba13aa789cc15a
assets/figures/july_update_2026_07_06_rec_000050_figure_001.png,final_or_documentation,140157,2026-08-12T10:37:04.757853+00:00,ec06be41498384e3d1cc6b9c2a234068341f8d5a592d11ceb6e4b139c9840bac
assets/figures/july_update_2026_07_06_rec_000060_figure_001.png,final_or_documentation,243793,2026-08-12T10:39:48.400841+00:00,cef5f4e670e4c7134da69a4020f641c7f5c300f93fb39f12d26cf27d4e2f182b
