record_id,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
rec_000001,Improving pancreatic adenocarcinoma prognosis models through ligand receptor interactions and histopathological integration.,10.1186/s12967-026-08572-6,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000002,Illusion of competence: vision-language models provide confident but inaccurate explanations in cytological diagnostics.,10.1038/s41598-026-60372-6,EXCLUDE,application_wrapper,none,adjudicator,"The abstract evaluates existing LVLMs on cytomorphology benchmarks and their textual justifications, rather than introducing a new model. This fits a wrapper-style application of pretrained multimodal models.","""evaluated four state-of-the-art generalist LVLMs... across key cytomorphology benchmarks"" and ""generated textual justifications""",application_wrapper,none,benchmark_resource,none
rec_000003,SPEAK: Spatial Prompting with Expert Aligned Knowledge for Tissue Domain Identification in Spatial Transcriptomics.,10.64898/2026.06.22.733750,EXCLUDE,application_wrapper,mixed_signals,adjudicator,"SPEAK is described as an LLM-based prompting method for spatial domain identification, which reads more like an application of an existing LLM than a new foundation model. The abstract does present a substantive bio task, but the text side is prompt-based.","""a large language model (LLM)-based method"" and ""constructs a spatial context prompt""",none,none,application_wrapper,foundation_model_evidence_unclear
rec_000004,SpaBiT: Enhancing Spatial Transcriptomics Resolution via Bidirectional Attention Transformers.,10.1093/bioinformatics/btag443,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000005,Deep learning in tumour genomics: from multi-omics integration to precision oncology.,10.1098/rsob.260117,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000006,Enhancing Cross-Context Generalization in Drug Perturbation Prediction with a Multimodal Conditional Diffusion Framework.,10.1093/bioinformatics/btag482,EXCLUDE,EC2_no_text_component,mixed_signals,adjudicator,"PertDiff is a new conditional diffusion framework, but the abstract only mentions LLM-derived semantics rather than a substantive text component. That makes it generative, yet not clearly within the text-bio scope.","""integrates control gene expression, LLM-derived cell semantics, and pretrained molecular graph representations""",application_wrapper,none,none,none
rec_000007,Artificial intelligence-driven multimodal fusion for precision diagnosis and personalized management of breast cancer.,10.3389/or.2026.1849152,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000008,A unified spatial transcriptome profiling of ten mouse organs.,10.1038/s41597-026-07752-9,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000009,OmicsTransformer: Self-Supervised Masked Consistency and Uncertainty-Aware Fusion for Robust Multi-Omics Prediction.,10.1093/bioinformatics/btag468,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000010,"Foundation Models in Cancer Pathology: Techniques, Applications, and Future Directions.",10.34133/research.1332,EXCLUDE,review_editorial,foundation_model_evidence_unclear,adjudicator,"This is explicitly a review of computational pathology foundation models, not a primary model paper. It discusses applications such as report generation but does not present a candidate model.","""This review first traces the development of CPathFMs"" and ""multimodal retrieval and report generation""",review_editorial,none,review_editorial,foundation_model_evidence_unclear
